period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
March,WVI,Luuq,Miradhubow  - TSFP,WFP301,3.91996,42.53777,TSFP_PLW,21,0,0,0,0,0,0,0,0,38,21,0,59,0,0,0
March,HEAL ,Ceel Afweyn,CEL-AFWEIN  - District Capital,WFP3011,9.92761,47.21537,TSFP_PLW,0,0,0,0,0,0,0,0,0,29,0,0,29,0,0,0
March,EPHCO,Ceel Barde,elberde - District Capital,WFP3018,4.82821,43.659931,TSFP_PLW,9,0,0,0,0,0,0,0,0,87,9,0,96,0,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Mirig - TSFP,WFP302,5.66243,46.42292,TSFP_PLW,11,0,0,0,9,0,0,0,0,27,11,9,29,100,0,0
March,Mercy USA,Cabudwaaq,Balanbale - TSFP,WFP303,5.68895,45.96932,TSFP_PLW,0,0,0,0,10,0,0,0,0,260,0,10,250,100,0,0
March,WVI,Belet Xaawo,Oda - TSFP,WFP309,3.984213,41.937835,TSFP_PLW,2,0,0,0,3,0,0,0,0,20,2,3,19,100,0,0
March,HEAL ,Ceel Afweyn,Balanbal - TSFP,WFP31,5.763569,45.768628,TSFP_PLW,0,0,0,0,0,0,0,0,0,44,0,0,44,0,0,0
March,WVI,Garowe,Oman - TSFP,WFP312,8.25783,48.292,TSFP_PLW,26,0,0,0,0,0,0,0,0,9,26,0,35,0,0,0
March,HADO,Qandala,Qandala - TSFP,WFP316,11.469416,49.873322,TSFP_PLW,300,0,0,0,0,0,0,0,0,33,300,0,333,0,0,0
March,Mercy USA,Buuhoodle,Qararo - TSFP,WFP318,8.16935,46.50269,TSFP_PLW,43,0,0,0,0,0,0,0,0,0,43,0,43,0,0,0
March,WVI,Garowe,Ballay - TSFP,WFP32,8.50515,48.60205,TSFP_PLW,47,0,0,0,0,0,0,0,0,26,47,0,73,0,0,0
March,HEAL ,Ceerigaabo,CEERIGABO  - Regional Capital,WFP3205,10.621822,47.36813,TSFP_PLW,65,0,0,0,0,0,0,0,0,112,65,0,177,0,0,0
March,WVI,Eyl,Qarxis - TSFP,WFP323,7.98389,48.10305,TSFP_PLW,14,0,0,0,13,0,0,0,0,87,14,13,88,100,0,0
March,Mercy USA,Hobyo,Qeydaro - TSFP,WFP326,5.78739,47.4884,TSFP_PLW,15,0,0,0,13,0,0,0,0,210,15,13,212,100,0,0
