GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,period,EVENT_DATE,year,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
520,5068RTA,,April 2017,10/4/17,2017,1,Violence against civilians,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),Government of Somalia (2017-),7,37,Somalia,Banaadir,Mogadisho,,Wadajir,2.0462,45.33407,2,Local Source Project,"12:00EAT, Wadajir, Mogadishu: a tax collector was assassinated in Wadajir district, perpetrators not known. ",1
520,5069RTA,,April 2017,10/4/17,2017,1,Violence against civilians,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),Government of Somalia (2017-),7,37,Somalia,Banaadir,Mogadisho,,Xamar Weyne,2.03373,45.34,1,Local Source Project,"08:20EAT, De Martiino Hospital, Mogadishu: an under-vehicle IED (UVIED) planted under the car of an official of the Ministry of Education detonated, killing the vehicle’s driver. Other sources claim the Education Minister was killed in the attack. Both sources report one death. Al Shabaab suspected via Shabelle Media Network (Mogadishu).",1
520,5070RTA,,April 2017,11/4/17,2017,1,Violence against civilians,Police Forces of Somalia (2017-),,1,Civilians (Somalia),Government of Somalia (2017-),7,17,Somalia,Banaadir,Mogadisho,,Wadajir,2.0462,45.33407,1,Local Source Project,"10:20EAT, Mogadishu, Wadajir: the occupants of a police vehicle opened fire against a vehicle transporting tax collection officers in Wadajir district. Two people injured, motive not known. ",0
520,5071RTA,,April 2017,12/4/17,2017,1,Remote violence,AMISOM: African Union Mission in Somalia (2007-) (Kenya),,8,Al Shabaab,,2,28,Somalia,Jubbada Hoose,Kismayo,,Kismayo,-0.36029,42.54626,2,Local Source Project,"Early AM, Kismayo district, Lower Jubba: Kenya Defence Force (KDF) aircraft conducted an airstrike against an al Shabaab camp in the vicinity of Kismayo at Kanjaron. Causalities not known. Conflicting, Shabelle Network believes the airstrike may have been carried out by the United States.",0
520,5072RTA,,April 2017,13/04/2017,2017,1,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) (Uganda),,8,Al Shabaab,,2,28,Somalia,Shabeellaha Hoose,Qoryooley,,Gaay Warow,1.76879,44.56958,1,Somali Memo ,"Two Ugandan soldiers are dead, while others are injured during a gun battle with al Shabaab at Gaay Warow. ",2
520,5073RTA,,April 2017,13/04/2017,2017,1,Riots/Protests,Protesters (Somalia),,6,,,0,60,Somalia,Woqooyi Galbeed,Hargeysa,,Hargeysa,9.55975,44.06678,1,Goobjoog,Somaliland forces arrest three journalists covering a demonstration in Hargeysa. The nature of the protest is not known.,0
520,5074RTA,,April 2017,14/04/2017,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Unidentified Armed Group (Somalia),,3,13,Somalia,Banaadir,Mogadisho,,Mogadishu,2.04139,45.33372,1,Shabelle Media Network  ,Unidentified gunmen shot and killed a government soldier in Mogadishu before escaping. ,1
520,5075RTA,,April 2017,14/04/2017,2017,1,Remote violence,AMISOM: African Union Mission in Somalia (2007-),,8,Al Shabaab,,2,28,Somalia,Shabeellaha Hoose,Afgooye,,Afgooye,2.15,45.116,2,Xinhua,"An al Shabaab roadside blast kills five Ugandan AMISOM soldiers along the road connecting Afgooye and Ceel Jaale. The following morning AMISOM confirmed the attack, though refuted the causality number. ",5
520,5076RTA,,April 2017,14/04/2017,2017,1,Violence against civilians,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),,7,37,Somalia,Banaadir,Mogadisho,,Mogadishu,2.04139,45.33372,1,Goobjoog,Unidentified gunmen shot and killed a prominent elder before escaping. ,1
520,5453RTA,,April 2017,14/04/2017,2017,1,Strategic development,AMISOM: African Union Mission in Somalia (2007-) (Ethiopia),,8,,,0,80,Somalia,Galguduud,Dhuusamarreeb,,Dhuusamarreeb,5.53764,46.3867,1,Local Source Project,"Unverified local media reporting suggested Ethiopian troops may have vacated from two military bases near Dhuusamareeb, Galgaduud region, during the early hours of 14 April. ",0
520,5077RTA,,April 2017,15/04/2017,2017,1,Remote violence,Military Forces of the United States,,8,Al Shabaab,,2,28,Somalia,Shabeellaha Hoose,Wanla Weyn,,Ceel Adde,3.2307,44.7709,1,Xinhua,"More than 100 al Shabaab, including 20 commanders are killed in a US airstrike at Ceel Adde and War-Gaduud.  Among the senior Al-Shabaab commanders killed are Abdirahman Fillow and Abdirahman Ben Dutie. ",50
520,5078RTA,,April 2017,15/04/2017,2017,1,Remote violence,Military Forces of the United States,,8,Al Shabaab,,2,28,Somalia,Bay,Baydhabo,,War-Gaduud,2.9786,43.7021,1,Xinhua,"More than 100 al Shabaab, including 20 commanders are killed in a US airstrike at Ceel Adde and War-Gaduud.  Among the senior Al-Shabaab commanders killed are Abdirahman Fillow and Abdirahman Ben Dutie. ",50
520,5454RTA,,April 2017,15/04/2017,2017,1,Remote violence,Military Forces of Kenya (2013-),,1,Al Shabaab,,2,12,Somalia,Gedo,Garbahaarey,,Garbahaarey,3.328,42.21988,3,Local Source Project,"Early AM, Urgud, Gedo: Kenya Defence Force (KDF) aircraft conducted an airstrike against al Shabaab-positions near Urgud location. Causalities not reported.",0
