period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
June,WVI,Luuq,Garbolow - TSFP,WFP207,3.91147,42.51267,TSFP_PLW,10,0,0,0,6,0,0,0,0,6,10,6,10,100,0
June,WVI,Eyl,Godob Adun - TSFP,WFP209,7.6693,49.528099,TSFP_PLW,17,0,0,0,35,0,0,0,0,100,17,35,82,100,0
June,GEWDO,Garbahaarey,Buraa - Settlement,WFP2098,3.16962,42.14083,TSFP_PLW,8,0,0,0,0,0,0,0,0,63,8,0,71,0,0
June,WVI,Burtinle,Godobyar - TSFP,WFP211,7.72006,47.66395,TSFP_PLW,12,0,0,0,13,0,0,1,0,16,12,14,14,93,0
June,HADO,Iskushuban,Gumbax - TSFP,WFP222,10.88443,51.11405,TSFP_PLW,7,0,0,0,18,0,0,0,0,100,7,18,89,100,0
June,WVI,Burtinle,Hayaanle - TSFP,WFP236,7.90862,48.06493,TSFP_PLW,10,0,0,0,9,0,0,0,0,34,10,9,35,100,0
June,WVI,Baydhaba,Horseed - TSFP,WFP242,3.209623,43.199554,TSFP_PLW,675,0,0,0,665,0,0,7,0,1328,675,672,1331,99,0
June,WVI,Baydhaba,Howlwadag - TSFP,WFP244,3.11651,43.54367,TSFP_PLW,13,0,0,0,15,0,0,2,0,42,13,17,38,88,0
June,WVI,Luuq,IDP F - TSFP,WFP248,3.777534,42.561513,TSFP_PLW,31,0,0,0,12,0,0,0,0,49,31,12,68,100,0
June,DHO,Baidoa,Raahole - Settlement,WFP2490,2.42142,44.80163,TSFP_PLW,0,0,0,0,0,0,0,0,0,90,0,0,90,0,0
June,HADO,Iskushuban,Iskushuban - TSFP,WFP250,10.28178,50.23009,TSFP_PLW,9,0,0,0,35,0,0,0,0,312,9,35,286,100,0
June,WVI,Burtinle,Jalam - TSFP,WFP252,7.87079,48.04045,TSFP_PLW,16,0,0,0,20,0,0,0,0,149,16,20,145,100,0
June,WOCCA,Jowhar,JOWHAR - TSFP,WFP258,8.16935,46.50269,TSFP_PLW,0,0,0,0,0,0,0,0,0,1069,0,0,1069,0,0
June,WVI,Eyl,Kabal - TSFP,WFP259,8.073611,49.959598,TSFP_PLW,16,0,0,0,15,0,0,0,0,40,16,15,41,100,0
June,WVI,Garoowe,Kalabayr - TSFP,WFP261,8.41278,48.486389,TSFP_PLW,11,0,0,0,11,0,0,0,0,147,11,11,147,100,0
June,WVI,Belet Xaawo,KALAGUBTA - TSFP,WFP263,3.933108,41.884086,TSFP_PLW,3,0,0,0,3,0,0,0,0,37,3,3,37,100,0
June,WVI,Dan Gorayo,Libaaxo - TSFP,WFP276,8.59308,49.19365,TSFP_PLW,8,0,0,0,8,0,1,0,0,35,8,9,34,89,11
June,Mercy USA,Cabudwaaq,Hurshe - TSFP,WFP28,6.2102,46.42169,TSFP_PLW,36,0,0,0,24,0,0,0,0,486,36,24,498,100,0
June,WVI,Burtinle,Magacley - TSFP,WFP283,9.0875,49.585602,TSFP_PLW,0,0,0,0,8,0,0,0,0,25,0,8,17,100,0
June,WVI,Luuq,Maganey - TSFP,WFP284,3.7095,42.52007,TSFP_PLW,10,0,0,0,3,0,0,0,0,35,10,3,42,100,0
June,WVI,Eyl,Maraya - TSFP,WFP287,8.3206,50.16414,TSFP_PLW,19,0,0,0,17,0,0,0,0,70,19,17,72,100,0
June,Swisso-Kalmo,Dhuusamarreeb,Marergur - TSFP,WFP288,5.75047,46.51312,TSFP_PLW,17,0,0,0,27,0,0,0,0,211,17,27,201,100,0
June,SWISSO-kalmo,Marka,Marka - TSFP,WFP291,1.71305,44.76388,TSFP_PLW,864,0,0,0,733,0,0,0,0,976,864,733,1107,100,0
June,WVI,Luuq,Caracase - Settlement,WFP2932,3.748,43.5326,TSFP_PLW,4,0,1,0,6,0,0,1,0,27,5,7,25,86,0
June,RAWA,Xarardheere,Miliqo - TSFP,WFP300,5.11431,47.93026,TSFP_PLW,214,0,0,0,147,0,14,20,0,796,214,181,829,81,8
June,WVI,Luuq,Miradhubow - TSFP,WFP301,3.91996,42.53777,TSFP_PLW,24,0,0,0,38,0,0,0,0,73,24,38,59,100,0
June,Swisso-Kalmo,Dhuusamarreeb,Mirig - TSFP,WFP302,5.66243,46.42292,TSFP_PLW,11,0,0,0,16,0,0,0,0,96,11,16,91,100,0
June,Mercy USA,Cabudwaaq,Balanbale - TSFP,WFP303,5.68895,45.96932,TSFP_PLW,16,0,0,0,17,0,0,0,0,386,16,17,385,100,0
June,HADO,Caluula,Muudiye - TSFP,WFP307,11.35455,50.67907,TSFP_PLW,9,0,0,0,13,0,0,0,0,150,9,13,146,100,0
June,WVI,Garoowe,Oman - TSFP,WFP312,8.25783,48.292,TSFP_PLW,18,0,0,0,8,0,0,0,0,40,18,8,50,100,0
June,Mercy USA,Buuhoodle,Qararo - TSFP,WFP318,8.16935,46.50269,TSFP_PLW,0,0,0,0,0,0,0,0,0,43,0,0,43,0,0
June,WVI,Garoowe,Ballay - TSFP,WFP32,8.50515,48.60205,TSFP_PLW,25,0,0,0,10,0,0,0,0,60,25,10,75,100,0
June,HADO,Qardho,Qardho - TSFP,WFP320,9.50694,49.086079,TSFP_PLW,8,0,0,0,97,0,0,0,0,900,8,97,811,100,0
June,WVI,Eyl,Qarxis - TSFP,WFP323,7.98389,48.10305,TSFP_PLW,15,0,0,0,13,0,0,0,0,117,15,13,119,100,0
June,WVI,Garoowe,Rabable - TSFP,WFP334,8.28125,48.29833,TSFP_PLW,3,0,0,0,3,0,0,0,0,32,3,3,32,100,0
June,HADO,Qardho,Rako - TSFP,WFP335,9.78144,49.72944,TSFP_PLW,9,0,0,0,20,0,0,0,0,150,9,20,139,100,0
June,Mercy USA,Las Anod ,dabataag - Settlement,WFP3376,8.11431,47.16193,TSFP_PLW,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0
June,WVI,Doolow,Seydhumay - TSFP,WFP339,4.1276,42.25621,TSFP_PLW,6,0,0,0,14,0,0,6,0,38,6,20,24,70,0
June,SDRO,Gaalkacyo,Sadex higlo - TSFP,WFP342,6.49897,47.1122,TSFP_PLW,8,0,0,0,8,0,0,0,0,23,8,8,23,100,0
June,Himilo,Kismayo,Dalxiis - Settlement,WFP3466,-0.3297,42.568802,TSFP_PLW,65,0,1,0,48,0,0,1,0,133,66,49,150,98,0
June,Mercy USA,Buuhoodle,Sarmaantuke - TSFP,WFP347,8.32738,46.48082,TSFP_PLW,0,0,0,0,0,0,0,0,0,86,0,0,86,0,0
June,Mercy USA,Taleex,Sarmaanyo - MCHN,WFP348,9.48895,47.99372,TSFP_PLW,10,0,0,0,8,0,0,0,0,52,10,8,54,100,0
June,SDO,Jariiban,SEEMADE - TSFP,WFP349,7.15579,48.60975,TSFP_PLW,0,0,0,0,0,0,0,0,0,110,0,0,110,0,0
June,Mercy USA,Hargeysa,Daraweine - Settlement,WFP3527,9.719863,44.224505,TSFP_PLW,20,0,0,0,5,0,0,0,0,109,20,5,124,100,0
June,Mercy USA,Hargeysa,Darasalam - Settlement,WFP3529,7.11742,47.15284,TSFP_PLW,40,0,0,0,15,0,0,0,0,64,40,15,89,100,0
June,HRDO,Cadaado,Dayano - Settlement,WFP3586,6.30965,46.67082,TSFP_PLW,69,0,0,0,16,0,0,0,0,52,69,16,105,100,0
June,Mercy USA,Buuhoodle,Balicad - TSFP,WFP36,8.08616,46.75012,TSFP_PLW,0,0,0,0,0,0,0,0,0,104,0,0,104,0,0
June,SHARDO,Shibis,Shibis - TSFP,WFP360,2.037711,45.35,TSFP_PLW,813,0,0,0,262,0,0,0,0,216,813,262,767,100,0
June,HEAL ,Ceel Afweyn,Shoodhe  - TSFP,WFP361,10.009707,47.367295,TSFP_PLW,40,0,0,0,0,0,0,0,0,10,40,0,50,0,0
June,SCF,BeletWeyne,Sigalow - TSFP,WFP363,4.75727,45.18898,TSFP_PLW,30,0,0,0,90,0,0,0,0,200,30,90,140,100,0
June,HEAL ,Ceel Afweyn,Sincaro  - TSFP,WFP364,9.47695,47.0754,TSFP_PLW,128,0,0,0,0,0,0,0,0,92,128,0,220,0,0
June,WVI,Garoowe,Sin-ujiif - TSFP,WFP365,8.53713,48.9852,TSFP_PLW,1,0,9,0,1,0,0,0,0,176,10,1,185,100,0
June,WVI,Doolow,Surgaduud - TSFP,WFP367,4.09584,42.02514,TSFP_PLW,3,0,0,0,16,0,0,8,0,34,3,24,13,67,0
June,Mercy USA,Cabudwaaq,Dabad - Settlement,WFP3692,6.30619,46.54925,TSFP_PLW,16,0,0,0,14,0,0,0,0,288,16,14,290,100,0
June,HRDO,Cadaado,Dhagaxdher - Settlement,WFP3714,5.89619,46.83997,TSFP_PLW,19,0,0,0,48,0,0,0,0,123,19,48,94,100,0
June,Mercy USA,Taleex,Taleex - MCHN,WFP372,9.14839,48.42077,TSFP_PLW,36,0,0,0,4,0,0,0,0,60,36,4,92,100,0
June,WVI,Baydhaba,Towfiiq - TSFP,WFP374,3.126929,43.675404,TSFP_PLW,11,0,0,0,8,0,0,2,0,23,11,10,24,80,0
June,HADO,Bossaso,Ufeyn - TSFP,WFP378,10.65233,49.75337,TSFP_PLW,11,0,0,0,17,0,0,0,0,107,11,17,101,100,0
June,WVI,Baydhaba,Wadajir 4 - TSFP,WFP384,3.149063,43.667816,TSFP_PLW,9,0,0,0,7,1,0,1,0,24,9,9,24,78,0
June,HADO,Qandala,Balidhidin - TSFP,WFP39,10.87986,50.39222,TSFP_PLW,11,0,0,0,19,0,0,0,0,170,11,19,162,100,0
