period,district,district_id,TSFP,TSFP_dfid,MCHN,MCHN_dfid,BSFP,BSFP_dfid
July,Hobyo,R1720111,10799,TBA,10540,TBA,2500,TBA
July,Iskushuban,R1720112,3369,TBA,3116,TBA,6154,TBA
July,Jariiban,R1720115,3164,TBA,5094,TBA,0,TBA
July,Jowhar,R1720117,10278,TBA,0,TBA,9932,TBA
July,Kismaayo,R1720118,7582,TBA,2000,TBA,16940,TBA
July,Bo'ame,R1720120,11935,TBA,11881,TBA,2879,TBA
July,Laasqoray,R1720121,0,TBA,0,TBA,110,TBA
July,Lughaye,R1720122,4278,TBA,3694,TBA,0,TBA
July,Dhamasa,R1720123,1467,TBA,0,TBA,7992,TBA
July,Hantiwadag,R1720124,4858,TBA,0,TBA,6215,TBA
July,Owdweyne,R1720126,200,TBA,872,TBA,0,TBA
July,Qandala,R1720127,2420,TBA,969,TBA,1300,TBA
July,Qardho,R1720129,4900,TBA,4635,TBA,4100,TBA
July,Burdhuhunle,R1720131,865,TBA,0,TBA,1720,TBA
July,Sheikh,R1720134,476,TBA,1591,TBA,0,TBA
July,Taleex,R1720135,1217,TBA,3167,TBA,1928,TBA
July,Waajid,R1720137,1124,TBA,0,TBA,4448,TBA
July,Beletamin ,R1720138,5513,TBA,0,TBA,6069,TBA
July,Xarardheere,R1720139,8070,TBA,0,TBA,3500,TBA
July,Xudun,R1720140,1366,TBA,3243,TBA,1369,TBA
July,Aboore,R1720141,1300,TBA,0,TBA,4000,TBA
July,Zeylac,R1720142,570,TBA,4108,TBA,0,TBA
July,Boondheere,R1720143,1418,TBA,0,TBA,0,TBA
July,Cabdlcasiis,R1720144,1023,TBA,0,TBA,0,TBA
July,Daynile,R1720145,14515,TBA,8845,TBA,0,TBA
July,Dharkenley,R1720146,5445,TBA,12798,TBA,0,TBA
July,Hawl Wadaag,R1720147,1349,TBA,3681,TBA,0,TBA
July,Heliwa,R1720148,2101,TBA,6793,TBA,0,TBA
July,Hodan,R1720149,5806,TBA,3682,TBA,0,TBA
July,Karaan,R1720150,3675,TBA,0,TBA,0,TBA
July,Shangaani,R1720151,1297,TBA,0,TBA,0,TBA
July,Shibis,R1720152,1541,TBA,0,TBA,0,TBA
July,Waaberi,R1720153,1301,TBA,6961,TBA,0,TBA
July,Wadajir,R1720154,2331,TBA,5749,TBA,0,TBA
July,Wardhiigleey,R1720155,1485,TBA,5749,TBA,0,TBA
July,Xamar JaabJab,R1720156,1044,TBA,4227,TBA,0,TBA
July,Xamar Weyne,R1720157,1031,TBA,6624,TBA,0,TBA
July,Yaaqshiid,R1720158,2545,TBA,5540,TBA,0,TBA
