period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
May,WVI,Garoowe,Kalabayr - TSFP,WFP261,8.41278,48.486389,TSFP_PLW,1,0,0,0,67,0,0,0,196,1,67,130,100,0
May,WVI,Belet Xaawo,Kalagubta - TSFP,WFP263,3.933108,41.884086,TSFP_PLW,3,0,2,0,3,0,0,0,37,5,3,39,100,0
May,HEAL ,Ceel Afweyn,BADHIGALIS  - TSFP,WFP27,9.97234,47.29558,TSFP_PLW,0,0,0,0,0,0,0,0,77,0,0,77,0,0
May,WVI,Dan Gorayo,Libaaxo - TSFP,WFP276,8.59308,49.19365,TSFP_PLW,9,0,0,0,8,0,1,0,35,9,9,35,89,11
May,Mercy USA,Cabudwaaq,Hurshe - TSFP,WFP28,6.2102,46.42169,TSFP_PLW,17,0,0,0,12,0,0,0,264,17,12,269,100,0
May,WVI,Burtinle,Magacley - TSFP,WFP283,9.0875,49.585602,TSFP_PLW,0,0,0,0,0,0,0,0,25,0,0,25,0,0
May,WVI,Luuq,Maganey - TSFP,WFP284,3.7095,42.52007,TSFP_PLW,9,0,3,0,32,0,1,3,62,12,36,38,89,3
May,SWISSO-Kalmo,Dhuusamarreeb,Marergur - TSFP,WFP288,5.75047,46.51312,TSFP_PLW,18,0,0,0,13,0,0,0,206,18,13,211,100,0
May,SWISSO-kalmo,Marka,Marka - TSFP,WFP291,1.71305,44.76388,TSFP_PLW,788,0,0,0,692,0,0,0,880,788,692,976,100,0
May,WVI,Luuq,Caracase - Settlement,WFP2932,3.748,43.5326,TSFP_PLW,3,0,1,0,8,0,0,1,33,4,9,28,89,0
May,RAWA,Xarardheere,Miliqo - TSFP,WFP300,5.11431,47.93026,TSFP_PLW,391,0,0,0,125,0,11,17,572,391,153,810,82,7
May,WVI,Luuq,Miradhubow - TSFP,WFP301,3.91996,42.53777,TSFP_PLW,6,0,0,0,0,0,0,0,67,6,0,73,0,0
May,HEAL ,Ceel Afweyn,Cel-afwein  - District Capital,WFP3011,9.92761,47.21537,TSFP_PLW,0,0,0,0,0,0,0,0,29,0,0,29,0,0
May,SWISSO-Kalmo,Dhuusamarreeb,Mirig - TSFP,WFP302,5.66243,46.42292,TSFP_PLW,12,0,0,0,14,0,0,0,98,12,14,96,100,0
May,Mercy USA,Cabudwaaq,Balanbale - TSFP,WFP303,5.68895,45.96932,TSFP_PLW,25,0,0,0,18,0,0,0,297,25,18,304,100,0
May,HADO,Caluula,Muudiye - TSFP,WFP307,11.35455,50.67907,TSFP_PLW,4,0,0,0,31,0,0,0,150,4,31,123,100,0
May,WVI,Belet Xaawo,Oda - TSFP,WFP309,3.984213,41.937835,TSFP_PLW,8,0,2,0,3,0,0,0,42,10,3,49,100,0
May,SWISSO-Kalmo,Dhuusamarreeb,Olol - TSFP,WFP311,5.92195,46.23917,TSFP_PLW,17,0,0,0,8,0,0,0,66,17,8,75,100,0
May,WVI,Garoowe,Oman - TSFP,WFP312,8.25783,48.292,TSFP_PLW,0,0,0,0,13,0,0,0,66,0,13,53,100,0
May,HADO,Qandala,Qandala - TSFP,WFP316,11.469416,49.873322,TSFP_PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Mercy USA,Hobyo,Qararow - TSFP,WFP319,5.31033,48.29483,TSFP_PLW,8,0,0,0,170,0,0,0,1182,8,170,1020,100,0
May,WVI,Garoowe,Ballay - TSFP,WFP32,8.50515,48.60205,TSFP_PLW,3,0,0,0,53,0,0,0,100,3,53,50,100,0
May,HADO,Qardho,Qardho - TSFP,WFP320,9.50694,49.086079,TSFP_PLW,7,0,0,0,157,0,0,0,900,7,157,750,100,0
May,WVI,Eyl,Qarxis - TSFP,WFP323,7.98389,48.10305,TSFP_PLW,25,0,0,0,21,0,0,0,117,25,21,121,100,0
May,Mercy USA,Hobyo,Qeydaro - TSFP,WFP326,5.78739,47.4884,TSFP_PLW,6,0,0,0,2,0,0,0,112,6,2,116,100,0
May,HADO,Qardho,Rako - TSFP,WFP335,9.78144,49.72944,TSFP_PLW,5,0,0,0,39,0,0,0,150,5,39,116,100,0
May,SDRO,Gaalkacyo,Sadex higlo - TSFP,WFP342,6.49897,47.1122,TSFP_PLW,10,0,0,0,5,0,0,0,18,10,5,23,100,0
May,Himilo,Kismayo,Dalxiis - Settlement,WFP3466,-0.3297,42.568802,TSFP_PLW,59,0,0,0,0,0,0,0,74,59,0,133,0,0
May,SWISSO-Kalmo,Dhuusamarreeb,Balliad - TSFP,WFP35,5.48048,46.09062,TSFP_PLW,21,0,0,0,19,0,0,0,119,21,19,121,100,0
May,Mercy USA,Hargeisa,Daraweine - Settlement,WFP3527,9.719863,44.224505,TSFP_PLW,18,0,0,0,4,0,0,0,65,18,4,79,100,0
May,Mercy USA,Hargeisa,Darasalam - Settlement,WFP3529,7.11742,47.15284,TSFP_PLW,74,0,75,0,381,0,0,0,446,149,381,214,100,0
May,HRDO,Cadaado,Dayano - Settlement,WFP3586,6.30965,46.67082,TSFP_PLW,18,0,0,0,0,0,0,0,34,18,0,52,0,0
May,SHARDO,Boondheere,Shibis - TSFP,WFP360,2.037711,45.35,TSFP_PLW,118,0,0,0,83,0,0,0,933,118,83,968,100,0
May,HEAL ,Ceel Afweyn,SHOODHE  - TSFP,WFP361,10.009707,47.367295,TSFP_PLW,0,0,0,0,0,0,0,0,6,0,0,6,0,0
May,SCF,BeletWeyne,Sigalow - TSFP,WFP363,4.75727,45.18898,TSFP_PLW,101,0,0,0,43,0,0,0,167,101,43,225,100,0
May,HEAL ,Ceel Afweyn,SINCARO  - TSFP,WFP364,9.47695,47.0754,TSFP_PLW,0,0,0,0,0,0,0,0,92,0,0,92,0,0
May,WVI,Garoowe,Sin-ujiif - TSFP,WFP365,8.53713,48.9852,TSFP_PLW,0,0,0,0,56,0,0,0,223,0,56,167,100,0
May,Mercy USA,Cabudwaaq,Dabad - Settlement,WFP3692,6.30619,46.54925,TSFP_PLW,18,0,0,0,11,0,0,0,264,18,11,271,100,0
May,WRRS,Afmadow,tabta - TSFP,WFP370,0.30463,41.43938,TSFP_PLW,3,0,0,0,2,0,1,4,6,3,7,2,29,14
May,HRDO,Cadaado,Dhagaxdher - Settlement,WFP3714,5.89619,46.83997,TSFP_PLW,19,0,0,0,0,0,0,0,35,19,0,54,0,0
