period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
April,SCI,Deynile,Malable - Settlement,WFP7385,3.03813,43.43877,TSFP_U5,429,30,0,0,0,0,0,0,2,38,459,2,495,0,0,1
April,Mercy USA,Laas Caanood,Boocame - MCHN,WFP75,8.396344,47.935664,TSFP_U5,15,0,0,0,0,0,0,0,0,632,15,0,647,0,0,0
April,HRDO,Cadaado,Marsamage - Settlement,WFP7516,5.76868,47.26299,TSFP_U5,70,0,0,0,0,0,0,0,0,76,70,0,146,0,0,0
April,HEAL ,Ceerigaabo,MAYDH  - Settlement,WFP7577,10.988259,47.109128,TSFP_U5,68,0,19,0,0,0,11,0,0,592,87,11,668,0,100,0
April,Mercy USA,Hobyo,Hobyo town  - TSFP,WFP77,5.34743,48.5262,TSFP_U5,54,0,0,0,36,0,0,0,0,916,54,36,934,100,0,0
April,Mercy USA,Kahda,Mogadishu - National Capital,WFP7702,2.04139,45.333721,TSFP_U5,481,0,0,0,0,0,0,0,0,483,481,0,964,0,0,0
April,WVI,Doolow,Qansaxley - Settlement,WFP8123,2.58504,45.00872,TSFP_U5,282,0,0,0,28,0,0,0,0,152,282,28,406,100,0,0
April,SDRO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_U5,7,0,0,0,9,0,0,0,0,37,7,9,35,100,0,0
April,WVI,BeletXaawo,Buniyo - TSFP,WFP82,3.5444,41.85122,TSFP_U5,15,3,3,0,17,0,0,1,4,50,21,22,49,77,0,0
April,SCI,Borama,Quljeed - Settlement,WFP8291,10.09149,43.00922,TSFP_U5,82,3,0,0,40,0,0,0,0,448,85,40,493,100,0,0
April,WVI,Dan Gorayo,Qundhed - Settlement,WFP8300,8.89492,50.44462,TSFP_U5,15,0,0,0,15,0,0,0,0,80,15,15,80,100,0,0
April,HIDIG,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_U5,59,7,21,0,11,0,4,8,6,560,87,29,618,38,14,0
April,Mercy USA,Hargeisa  ,Sabawanag - Settlement,WFP8568,9.04489,44.58108,TSFP_U5,87,0,117,0,0,0,76,0,0,360,204,76,488,0,100,0
April,SDO,Galdogob,BURSAALAX - TSFP,WFP86,7.17457,47.24316,TSFP_U5,188,0,0,0,0,0,0,0,0,730,188,0,918,0,0,0
April,WVI,Hargeysa,Salahlaye - Settlement,WFP8622,9.02686,44.20228,TSFP_U5,316,4,0,0,45,0,0,0,0,315,320,45,590,100,0,0
April,EPHCO,Ceel Barde,Salkudhooble - Settlement,WFP8632,4.90952,43.99175,TSFP_U5,12,2,3,0,0,0,0,0,0,379,17,0,396,0,0,0
April,WVI,Burtinle,Burtinle - MCHN,WFP87,7.64157,47.83103,TSFP_U5,236,75,0,0,316,1,0,1,0,836,311,318,829,99,0,0
April,SDO,Jariiban,SEEMADE - Settlement,WFP8737,6.8771,48.6721,TSFP_U5,103,0,0,0,0,0,0,0,0,406,103,0,509,0,0,0
April,SWISSO-kalmo,Dhuusamarreeb,Shalaqben - Settlement,WFP8786,5.26156,45.765,TSFP_U5,40,0,0,0,26,0,0,0,0,182,40,26,196,100,0,0
April,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_U5,87,0,0,0,35,0,2,5,2,255,87,44,298,80,5,0
