period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
February,WVI,Burtinle,Hayaanle - TSFP,WFP236,7.90862,48.06493,TSFP_PLW,4,0,0,0,6,0,0,0,0,40,4,6,38,100,0
February,SDRO,Gaalkacyo,Horseed - TSFP,WFP242,3.209623,43.199554,TSFP_PLW,15,0,0,0,15,0,0,0,0,86,15,15,86,100,0
February,WVI,Baidoa,Howlwadag - TSFP,WFP244,3.11651,43.54367,TSFP_PLW,91,0,0,0,88,0,0,0,0,415,91,88,418,100,0
February,SCI,Beletweyne,Hujub - TSFP,WFP245,4.68502,45.28351,TSFP_PLW,46,0,0,0,45,0,0,0,0,253,46,45,254,100,0
February,WVI,Luuq,IDP F - TSFP,WFP248,3.777534,42.561513,TSFP_PLW,3,0,0,0,3,0,0,0,0,20,3,3,20,100,0
February,DHO,Diinsoor,Raahole - Settlement,WFP2490,2.42142,42.928669,TSFP_PLW,2,0,0,0,0,0,0,0,0,23,2,0,25,0,0
February,HADO,Iskushuban,Iskushuban - TSFP,WFP250,10.28178,50.23009,TSFP_PLW,182,0,0,0,151,0,0,0,0,917,182,151,948,100,0
February,WVI,Burtinle,Jalam - TSFP,WFP252,7.87079,48.04045,TSFP_PLW,31,0,0,0,0,0,0,0,0,161,31,0,192,0,0
February,SDO,Jariiban,JARIIBAN - TSFP,WFP257,7.21345,48.8514,TSFP_PLW,89,0,0,0,71,0,0,0,0,145,89,71,163,100,0
February,WVI,Eyl,Kabal - TSFP,WFP259,8.073611,49.959598,TSFP_PLW,17,0,0,0,17,0,0,0,0,60,17,17,60,100,0
February,WVI,Garoowe,Kalabayr - TSFP,WFP261,8.41278,48.486389,TSFP_PLW,13,0,0,0,4,0,0,0,0,45,13,4,54,100,0
February,WVI,Belet Xaawo,Kalagubta - TSFP,WFP263,3.933108,41.884086,TSFP_PLW,21,0,0,0,19,0,0,0,0,125,21,19,127,100,0
February,WVI,Belet Xaawo,Lebiraar - TSFP,WFP275,3.73163,41.97727,TSFP_PLW,31,0,0,0,0,0,0,0,0,216,31,0,247,0,0
February,WVI,Dan Gorayo,Libaaxo - TSFP,WFP276,8.59308,49.19365,TSFP_PLW,34,0,0,0,0,0,0,0,0,234,34,0,268,0,0
February,WVI,Burtinle,Magacley - TSFP,WFP283,9.0875,49.585602,TSFP_PLW,22,0,0,0,2,0,0,0,0,122,22,2,142,100,0
February,WVI,Luuq,Maganey - TSFP,WFP284,3.7095,42.52007,TSFP_PLW,21,0,0,0,5,0,1,1,0,73,21,7,87,71,14
February,WVI,Eyl,Maraya - TSFP,WFP287,8.3206,50.16414,TSFP_PLW,13,0,0,0,9,0,1,1,0,64,13,11,66,82,9
February,SWISSO-kalmo,Dhuusamarreeb,Marergur - TSFP,WFP288,5.75047,46.51312,TSFP_PLW,12,0,0,0,4,0,0,1,0,63,12,5,70,80,0
February,SWISSO-kalmo,Marka,Marka - TSFP,WFP291,1.71305,44.76388,TSFP_PLW,10,0,0,0,2,0,0,0,0,76,10,2,84,100,0
February,RAWA,Xarardheere,Camara - TSFP,WFP300,5.11431,47.93026,TSFP_PLW,4,0,1,0,6,0,1,29,0,43,5,36,12,17,3
February,WVI,Luuq,Miradhubow  - TSFP,WFP301,3.91996,42.53777,TSFP_PLW,10,0,0,0,12,0,0,0,0,30,10,12,28,100,0
February,SWISSO-kalmo,Dhuusamarreeb,Mirig - TSFP,WFP302,5.66243,46.42292,TSFP_PLW,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0
February,Mercy USA,Cabudwaaq,Balanbale - TSFP,WFP303,5.68895,45.96932,TSFP_PLW,9,0,0,0,6,0,0,0,0,22,9,6,25,100,0
February,HADO,Caluula,Muudiye - TSFP,WFP307,11.35455,50.67907,TSFP_PLW,18,0,0,0,7,0,1,0,0,134,18,8,144,88,13
February,WVI,Belet Xaawo,Oda - TSFP,WFP309,3.984213,41.937835,TSFP_PLW,1,0,0,0,0,0,0,0,0,70,1,0,71,0,0
February,SWISSO-kalmo,Dhuusamarreeb,Olol - TSFP,WFP311,5.92195,46.23917,TSFP_PLW,30,0,0,0,0,0,0,0,0,236,30,0,266,0,0
February,WVI,Garoowe,Oman - TSFP,WFP312,8.25783,48.292,TSFP_PLW,22,0,0,0,6,0,0,2,0,15,22,8,29,75,0
February,WVI,Garoowe,Ballay - TSFP,WFP32,8.50515,48.60205,TSFP_PLW,8,0,0,0,0,0,0,0,0,3,8,0,11,0,0
February,HADO,Qardho,Qardho - TSFP,WFP320,9.50694,49.086079,TSFP_PLW,44,0,0,0,17,0,3,0,0,131,44,20,155,85,15
February,WVI,Eyl,Qarxis - TSFP,WFP323,7.98389,48.10305,TSFP_PLW,15,0,0,0,0,0,0,0,0,20,15,0,35,0,0
February,WVI,Garoowe,Rabable - TSFP,WFP334,8.28125,48.29833,TSFP_PLW,20,0,0,0,15,0,0,0,0,85,20,15,90,100,0
February,WVI,Garoowe,Reemanti - TSFP,WFP336,8.40861,48.481392,TSFP_PLW,9,0,6,0,0,0,6,0,0,52,15,6,61,0,100
February,WVI,Doolow,Seydhumay - TSFP,WFP339,4.1276,42.25621,TSFP_PLW,2,0,0,0,4,0,0,0,0,46,2,4,44,100,0
February,SORRDO,Hamarweyne,Dacarudhug - Settlement,WFP3403,9.85648,44.527473,TSFP_PLW,90,0,2,0,56,0,3,1,1,93,92,61,124,92,5
